StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5,Q6,Q7,Q7_4_TEXT,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q14_6_TEXT,Q15,Q15_3_TEXT,Q15_5_TEXT,Q15_4_TEXT,Q15_2_TEXT,Q15_1_TEXT,Q15_6_TEXT,Q17,Q18,Q18_8_TEXT,Q19,Q20,Q21,Q22,Q23_1,Q23_2,Q23_3,Q24_1,Q24_2,Q25,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q28,Q29,Q30,Q31,Q32,Q33,Q34_1,Q34_2,Q34_3,Q34_4,Q35_1,Q35_2,Q35_3,Q35_4,Q35_5,Q35_6,Q35_7,Q35_8,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q36_6,Q36_7,Q36_8,Q37_1,Q37_2,Q37_3,Q37_4,Q37_5,Q37_6,Q37_7,Q37_8,Q38_1,Q38_2,Q38_3,Q38_4,Q38_5,Q38_6,Q38_7,Q38_8,Q39_1,Q39_2,Q39_3,Q39_4,Q39_5,Q40_1,Q40_2,Q40_3,Q40_4,Q40_5,Q41,Q42,Q43,Q44,Q45,Q46,Q47_1,Q47_2,Q47_3,Q47_4,Q47_5,Q48_1,Q48_2,Q49,Q50,Q51,Q52_1,Q52_2,Q52_3,Q52_4,Q52_5,Q52_6,Q52_7,Q52_8,Q53,Q53_7_TEXT,Q_UnansweredPercentage,Q_UnansweredQuestions,Eligible
2025-10-20 19:12:01,2025-10-20 19:12:03,0,68.194.192.74,2,2,0,2025-10-27 19:12:07,R_10vDASryaNaHSz0,,,,,40.7616,-72.8508,qr,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,No
2025-10-21 14:53:31,2025-10-21 14:54:01,0,74.89.65.48,10,30,0,2025-10-28 14:54:07,R_5fipF77YuVW2zqF,,,,,41.0551,-72.4278,qr,EN,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,No
2025-10-23 07:54:25,2025-10-23 07:56:16,0,174.234.124.27,21,111,0,2025-10-30 07:56:26,R_1LGbybhgauOfsZO,,,,,42.7008,-73.8601,qr,EN,1,1,1,1,2,2,,NY,2021,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,No
2025-11-07 14:51:02,2025-11-07 15:01:01,0,68.196.241.60,100,598,1,2025-11-07 15:01:02,R_6R568nIVUCGJN9E,,,,,40.947,-73.0296,qr,EN,1,1,1,1,2,2,,Florida,December 2018,2,1,5 years,1,"5,2,1",,2,,,,full time elementary school position 2021-present,,,1,1,,2,2,1,4,4,3,4,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,1,1,1,1,2,2,3,2,3,3,1,1,3,3,3,3,4,4,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,3,3,1,1,3,2,2,1,1,1,1,5,5,4,3,3,2,1,2,1,4,3,1,1,1,1,1,1,1,1,1,"3,1,6",,0,,No
2025-11-04 11:20:20,2025-11-04 11:20:26,0,96.56.14.26,2,5,0,2025-11-11 11:20:29,R_5uJW6ySDzJiJSYx,,,,,41.0408,-73.8179,qr,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,No
2025-11-17 17:14:28,2025-11-17 17:25:28,0,104.179.73.99,100,660,1,2025-11-17 17:25:29,R_3LjTCWAQdnw2xMy,,,,,33.384,-84.798,qr,EN,1,1,1,1,2,1,,Georgia,2023,2,1,2,1,"4,2",,2,,,,3,,,1,"7,1",,1,2,3,5,5,5,5,4,4,4,3,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,2,1,1,1,5,4,1,2,2,2,2,2,5,4,3,2,4,3,1,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,1,1,1,2,4,5,3,2,3,3,1,3,3,5,1,2,1,1,1,2,2,2,2,1,"4,3,1,2,6",,0,,No
2025-11-17 17:35:57,2025-11-17 17:52:14,0,23.113.66.193,100,976,1,2025-11-17 17:52:14,R_12mCGOTe0LyE4FR,,,,,33.384,-84.798,qr,EN,1,1,1,1,2,1,,Georgia,2023,2,1,3,1,2,,2,,,,Full time ,,,1,1,,1,1,2,3,4,4,4,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,2,2,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,5,4,2,4,3,2,2,3,5,1,3,3,2,3,3,4,4,4,3,"3,2,6",,0,,No
2025-11-17 18:21:39,2025-11-17 18:30:47,0,70.107.178.129,100,548,1,2025-11-17 18:30:50,R_3rYviUK6BZKL1oK,,,,,40.7434,-73.0761,qr,EN,1,1,1,1,2,1,,New York,1984,2,1,35,2,"3,5,2",,3,,,,,,,2,"2,5,4,6,3,8","Tracheostomy/Ventilator Dependent, Palliative Care, Ethics",1,3,4,5,5,5,5,5,5,4,2,1,1,1,2,2,5,5,5,5,4,4,3,5,3,5,4,2,3,2,1,1,4,3,4,3,4,2,2,2,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,1,2,1,2,2,4,4,4,4,4,2,2,2,1,5,3,5,4,5,4,5,4,5,5,3,3,5,3,5,5,5,5,4,4,3,,0,,No
2025-11-18 05:58:17,2025-11-18 06:08:46,0,129.49.158.254,100,628,1,2025-11-18 06:08:46,R_3rkwuvOuZZOQ2V4,,,,,40.916,-73.0497,qr,EN,1,1,1,1,2,1,,NY,2016,2,1,9 years,2,"3,5,4,1,6",Home Care,"5,1",,,,,,,1,"2,5,4",,1,3,2,3,5,5,5,4,4,3,1,1,1,1,1,1,3,1,3,1,1,1,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43137254901960786,"QID34,QID87,QID82,QID56,QID53,QID60,QID35,QID79,QID86,QID28,QID66,QID85,QID47,QID54,QID36,QID88,QID81,QID48,QID55,QID49,QID70,QID37",No
2025-11-18 10:40:20,2025-11-18 10:47:03,0,64.238.128.41,100,403,1,2025-11-18 10:47:03,R_71du5VDQJyarBgx,,,,,40.871,-73.051,qr,EN,1,1,1,1,2,1,,New York,2016,2,1,9,"2,1","3,5,4,2",,"4,2",,,part time,full time,,,1,"2,4,7,1",,1,3,3,2,3,3,3,3,3,2,3,3,,1,1,1,3,,1,1,1,1,2,2,2,2,3,3,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,5,5,5,4,5,5,4,4,4,4,3,2,4,4,4,4,4,4,4,4,"4,3,1,6",,0,,No
2025-11-19 07:41:43,2025-11-19 07:51:52,0,172.226.202.147,100,608,1,2025-11-19 07:51:52,R_64epXw3lwzw4ntL,,,,,40.7126,-74.0066,qr,EN,1,1,1,1,2,4,36 credit masters degree,NY,1984,1,1,42,"2,1","4,2",,6,,,,,,retired,4,"4,7,1",,1,4,3,4,4,5,5,4,5,4,1,,1,1,1,1,1,1,1,1,1,1,2,2,2,2,5,2,2,2,2,2,3,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,2,3,3,3,5,5,3,5,5,5,5,5,4,5,4,3,5,5,5,5,5,5,5,5,"1,2",,0,,No
2025-11-19 07:45:09,2025-11-19 07:53:17,0,174.231.103.22,100,488,1,2025-11-19 07:53:18,R_5D7fQeU1R2LBclO,,,,,40.5802,-74.3594,qr,EN,1,1,1,1,2,1,,Illinois,2024,2,1,5 months,"2,1",2,,2,,,,High school,,,1,,,1,3,2,4,4,4,4,4,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,5,5,1,2,2,2,1,1,1,4,5,3,2,1,1,1,2,2,2,2,"3,1,2,6",,0.0196078431372549,QID78,No
2025-11-19 07:41:35,2025-11-19 07:54:22,0,174.220.89.205,100,766,1,2025-11-19 07:54:22,R_5tPGSXBlhLjmCYh,,,,,39.7173,-74.9693,qr,EN,1,1,1,1,2,1,,New York,2021,2,1,"3.5 licensed, 4.5 total with CF","2,1","3,5,4,2",,"4,2",,,2-3 partial days/week,5 full days/week,,,1,"7,3,1,8","AAC, feeding",1,2,2,4,5,5,5,4,5,4,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,4,3,2,2,2,2,4,4,5,5,5,3,5,5,2,3,5,5,5,3,5,5,2,2,4,4,4,3,5,4,2,2,5,5,5,2,5,4,3,2,4,3,2,4,3,4,4,3,2,2,1,2,3,5,4,4,3,3,1,3,2,5,4,2,1,2,2,2,2,2,2,2,"4,3,1,2,5,6",,0,,No
2025-11-19 08:03:10,2025-11-19 08:09:27,0,172.226.150.178,100,377,1,2025-11-19 08:09:27,R_6E0FcHBtHgPMXwj,,,,,40.6805,-73.8442,qr,EN,1,1,1,1,2,1,,NY,2013,2,1,12,1,"3,2",,2,,,,Elementary ,,,1,"5,1",,1,4,3,3,4,4,4,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,3,2,2,2,2,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,2,2,2,2,5,4,3,4,3,3,3,3,3,5,1,1,4,3,3,3,4,4,4,4,"4,3,1,2,5,6",,0,,No
2025-11-17 17:00:04,2025-11-17 17:01:10,0,74.89.204.178,37,65,0,2025-11-24 17:01:12,R_5pRDJbyyXNTbIWa,,,,,41.0983,-72.3575,qr,EN,1,1,1,1,2,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5555555555555556,"QID8,QID76,QID64,QID7,QID46,QID78,QID4,QID6,QID80,QID65",No
2025-11-25 12:25:32,2025-11-25 13:27:45,0,174.216.243.153,100,3732,1,2025-11-25 13:27:46,R_6WZLPf5GioyFMqJ,,,,,40.6327,-73.6333,qr,EN,1,1,1,1,2,1,,New York,2024,2,1,less than one year,1,"4,2,6",veterans home,2,,,,full time,,,1,1,,1,2,2,3,3,4,4,5,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,3,1,1,1,1,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,4,5,1,1,3,2,3,2,1,4,4,2,2,2,2,2,2,2,2,2,"3,1,2",,0,,No
2025-11-19 07:41:42,2025-11-19 07:41:57,0,174.228.226.189,8,14,0,2025-11-26 07:41:59,R_7OMN5fxOQDbRHM1,,,,,39.9065,-75.0869,qr,EN,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,No
2025-11-19 07:40:50,2025-11-19 07:44:32,0,174.231.103.22,37,222,0,2025-11-26 07:44:34,R_5TTRWdX5HCXQyD7,,,,,40.5802,-74.3594,qr,EN,1,1,1,1,2,1,,Illinois,2024,2,1,5 months,"2,1",2,,2,,,,High school,,,1,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05555555555555555,QID78,No
2025-11-29 17:42:47,2025-11-29 17:52:27,0,97.106.75.48,100,580,1,2025-11-29 17:52:27,R_5gA8EiHBJWrIRpL,,,,,28.0823,-82.7297,qr,EN,1,1,1,1,2,1,,FL,2007,2,1,18,"2,1","3,5,2",,6,,,,,,University,1,"2,4,7,1",,1,2,3,3,5,4,5,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,3,3,2,2,3,2,2,4,4,5,4,3,3,5,4,3,3,4,4,4,2,4,4,4,3,5,5,3,3,5,3,4,3,5,4,3,3,4,4,3,2,3,3,3,3,3,3,3,3,1,3,2,2,5,3,3,3,4,4,3,3,2,5,3,2,3,2,2,3,4,4,2,3,1,,0,,No
2025-12-02 08:15:20,2025-12-02 08:26:19,0,129.255.1.116,100,659,1,2025-12-02 08:26:20,R_15AP5q9WNiSvDth,,,,,41.6435,-91.5685,qr,EN,1,1,1,1,2,1,,Illinois,2005,2,1,20.5,"2,1","3,5,2",,"3,1,6",20,,,,8-10,Outpatient Neuro clinic 2x per month about 12-18 hours pending the caseload,2,"2,5,4,6,7,3,1",,1,3,5,5,5,5,5,5,5,3,1,1,1,1,1,1,5,5,5,3,5,5,1,5,1,5,3,2,1,2,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,1,1,1,1,1,5,5,5,5,5,1,1,2,1,5,4,4,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,"4,3,1,2,5,6",,0,,No
2025-12-02 08:52:02,2025-12-02 10:12:36,0,174.219.210.213,100,4833,1,2025-12-02 10:12:36,R_1OcaZiG2eX6ssbe,,,,,39.9012,-86.1717,qr,EN,1,1,1,1,2,1,,Indiana ,2001,2,1,24,"2,1","3,5",,"3,5",,,,,,,2,"2,4,3,1",,2,2,5,5,5,5,5,5,5,4,1,1,1,1,1,1,5,4,5,5,4,5,1,5,1,5,2,1,1,1,1,1,2,1,2,1,1,2,2,1,4,4,4,4,4,3,4,4,4,2,4,4,4,2,4,4,4,2,4,2,4,2,4,4,1,1,1,1,1,4,4,4,4,4,1,1,1,1,5,3,4,4,4,3,4,4,4,5,1,1,4,3,4,4,5,5,3,5,"4,3,5,6",,0,,No
2025-11-25 11:11:44,2025-11-25 11:11:46,0,172.56.162.197,2,1,0,2025-12-02 11:11:48,R_6FJOmTbc5aE3nZ7,,,,,40.8231,-73.9513,qr,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,No
2025-12-02 11:58:53,2025-12-02 11:59:09,0,24.246.112.231,100,15,1,2025-12-02 11:59:09,R_6OT7NItBzGUrneF,,,,,40.9058,-73.3381,qr,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"QID38,QID39,QID42,QID44",No
2025-12-04 12:51:30,2025-12-04 13:01:36,0,167.244.212.100,100,606,1,2025-12-04 13:01:37,R_3hHFj7DEZyXRRE5,,,,,42.6552,-73.802,qr,EN,1,1,1,1,2,1,,Massachusetts,1994,2,1,30,"2,1","3,5,2,6",rehab,"3,5",31 years,20 years,,,,,1,"2,5,4,6,7,3,1",,1,2,5,5,5,5,5,5,5,4,1,1,1,1,1,1,5,3,5,5,1,4,4,5,4,5,3,2,2,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,2,2,2,2,2,5,5,5,5,5,4,3,1,1,4,4,3,4,5,5,5,5,5,4,3,1,5,5,5,5,5,5,5,5,"4,3",,0,,No
2025-12-04 15:48:18,2025-12-04 15:56:11,0,108.41.194.253,100,473,1,2025-12-04 15:56:12,R_6PG1HEZs4a68ygc,,,,,40.821,-73.143,qr,EN,1,1,1,1,2,1,,NY,2021,2,1,4,"2,1","2,1",,"2,1",,,,,,,2,"2,4,1",,1,4,3,4,4,4,4,4,4,4,3,2,2,2,3,3,4,4,4,4,4,4,2,4,2,4,2,2,2,3,2,2,2,2,2,2,2,2,2,2,5,4,5,4,5,5,5,5,1,1,1,1,2,1,2,2,5,5,5,5,5,5,5,5,2,1,2,2,1,5,5,5,5,5,3,3,3,2,4,4,3,4,4,2,4,3,4,5,1,2,5,3,3,5,5,5,3,5,"3,1,2,5",,0,,No
2025-12-04 15:59:07,2025-12-04 16:08:25,0,172.225.112.80,100,557,1,2025-12-04 16:08:25,R_7QYeH64xocGkoOl,,,,,43.1115,-76.1834,qr,EN,1,1,1,1,2,1,,New York,2024,2,1,6 months,"2,1","5,4,2",,"4,2",,,4 months,1 year,,,1,8,None - I don’t need to start CEUs until January,1,1,1,3,5,5,5,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,4,3,3,2,4,3,2,3,5,4,4,4,5,5,2,2,4,3,3,2,4,4,4,4,5,5,5,5,5,5,1,1,1,2,3,4,4,4,4,4,1,1,1,1,5,5,3,4,3,5,3,2,3,5,1,2,2,2,2,2,4,4,3,3,"3,1,2,6",,0,,No
2025-12-04 16:12:32,2025-12-04 16:12:50,0,50.48.194.2,100,17,1,2025-12-04 16:12:50,R_3GWez7WYT9cZFzp,,,,,42.1254,-75.9664,qr,EN,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,No
